jobCpy,jobTitle,jobMes,jobSal,jobCon,jobAdd,jobUrl
深圳电竞风暴科技有限公司,"
Python高级爬虫工程师","
深圳-南山区|5-7年经验|本科|招1人|08-06发布",2.5-3.5万/月,"岗位职责 
1. 分布式网页抓取平台的研发、完善和运维,主要爬取内容为moba游戏数据（Dota2、LoL、王者荣耀等） 
2. 产品后端 API 的开发，实现高性能、高可用及可扩展的后端代码； 
3. 线上分布式环境的自动化运维、监控、性能调优。 
职位要求 
1. 了解多线程、多进程、网络通信编程相关知识，有分布式爬虫架构，数据挖掘经验； 
2. 具有较强的分析和解决问题的能力，具有一定的moba游戏经验； 
3. 良好的工作习惯，态度端正，实现数据的抓取及数据规则清洗工作，保证正确的入库数据； 
4. 熟悉至少一门高级编程语言（例如 Python/C++/JAVA ）并有5年以上实际开发的经验。
5. 精通mysql，至少熟悉一种nosql(mongodb、hbase)，能根据实际问题，进行schema设计，并具有一定的运维优化经验
职能类别：
高级软件工程师
关键字：
Python
Java
c++",蚂蚁邦加速中心,https://jobs.51job.com/shenzhen-nsq/103350111.html?s=01&t=0
深圳市运维软件有限公司,"
( [ python爬虫开发工程师 ] )","
深圳-南山区|无工作经验|大专|招2人|08-02发布",4.5-6千/月,"1、18-30周岁，应届毕业生亦可，计算机、理工类等专业优先录取
2、对互联网行业有浓厚兴趣，有意从事python爬虫开发相关工作
3、有无经验均可(有人带)，要求有一定的学习能力，较好的逻辑思维
福利待遇：
1.  薪水：具有行业竞争力薪水，底薪+提成+项目奖金+年底双薪；
2.  福利：住房公积金、养老、医疗、工伤、失业、生育；
3.  假期：享有多天带薪年假，法定节假日休息和国家规定一致；
4.  旅游户外活动：公司不定期会为员工组织户外活动、旅游活动。职能类别：
互联网软件开发工程师
软件工程师
关键字：
python
python开发
爬虫
python爬虫
软件开发",南山区高新园,https://jobs.51job.com/shenzhen-nsq/104401391.html?s=01&t=0
深圳义合信达科技有限公司,"
Java开发工程师+python开发工程师+爬虫","
深圳-宝安区|5-7年经验|招3人|08-07发布",1-1.5万/月,"岗位职责：
1.负责设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析工作； 
2.负责网页信息和数据抽取、清洗、消重等工作，提升平台的抓取效率；
3.参与爬虫核心算法和策略优化，熟悉采集系统的调度策略；
4.实时监控爬虫的进度和警报反馈。
任职要求：
1、专科以上学历，Java基础扎实，具备爬虫开发经验； 
2、熟悉Java网络爬虫框架（jsoup、Selenium、HttpClient、HtmlUnit等至少一种）,熟练selenium优先； 
3、熟练掌握HTML、CSS、Javascript等页面技术； 
4、熟悉MySQL，MongoDB等数据库至少其中一种，熟悉SQL语言；  
5、掌握linux基本操作，有python相关经验者优先，熟悉restful api规则； 
6、具有较强的分析和解决问题能力，有责任心，积极主动。
7、有航空旅游行业相关经验优先
 
职能类别：
高级软件工程师
关键字：
python
java
爬虫",西部硅谷,https://jobs.51job.com/shenzhen-baq/103364867.html?s=01&t=0
海南新浪爱问普惠科技有限公司,"
Python高级爬虫工程师","
深圳|5-7年经验|本科|招若干人|08-15发布",2.5-3万/月,"岗位职责：
1、负责设计、开发、维护、重构分布式的网络爬虫，包括调度、抓取、维护、验证等爬虫工作；
2、负责抽取算法和数据库建模的调研和设计，保证抽取、去重、分类、解析、增量融合入库等流程之后的数据结果；
3、对反爬机制有研究，有能力破解复杂图片验证码/账号限制/ip限制。
岗位要求：
1、全日制本科及以上，5年以上python/golang开发经验，2年以上数据抓取工作经验；
2、精通使用爬虫相关技术，如：python,scrapy,selenium,xpath,正则表达式;
3、熟悉常用数据存储如mysql,mongodb，各种数据处理技术优先；
4、熟悉通信协议TCP/HTTP及RESTful标准。
职能类别：
大数据开发/分析",南山区科技南八路超多维科技大厦,https://jobs.51job.com/shenzhen/104921734.html?s=01&t=0
飞扬集团,"
Python开发工程师—新材料促进中心","
深圳|3-4年经验|本科|招1人|08-16发布",1-2万/月,"【岗位职责】
1.参与核心爬虫系统架构设计、数据库设计；
2.负责网络爬虫的核心技术研究和开发，参与各种核心搜索策略、算法、数据聚类、重组的设计与开发；
3.设计策略和算法，提升网页抓取的效率和质量；
4.分析爬虫系统的技术缺陷，对策略架构做出合理地调整和改进。
【任职资格】
1. 3年以上Java、python或C/C++开发经验，熟悉常用的信息抓取策略和数据重组算法；
2.精通信息抓取和整合技术，从结构化的和非结构化的数据中获取信息，掌握正则表达式；
3.熟悉大规模网页爬取，深度网页爬取，熟悉Nutch、Scrapy、Lucene、Heritrix、Solr、Sphinx等工具优先考虑；
4.了解Mongodb、HBase、HIVE等NoSQL数据库，并至少精通一种关系型数据库的开发；
5.熟悉网络爬虫相关技术，如有分词、spider、分类、聚类、索引、检索等相关开发经验者优先。
【深圳市宝安区新材料产业技术创新联盟简介】
深圳市宝安区新材料产业技术创新联盟成立于2015年9月，由飞扬集团、长先科技、宝利树脂、瑞凌实业、盛誉实业、创新智慧港等15家单位共同发起成立，随着联盟的发展壮大，联盟引入了加法基金作为联盟后盾，并且将涂料、塑料、3D打印、碳纳米管等高新技术产品引入到联盟。
新材料联盟以促进开展新材料产业研发生产应用活动为己任，探索在国家政策与资金引导下建立以企业为主体、产学研结合、市场化和促进成果转化的有效机制，打造产、学、研、用多赢的科技创新平台。
新材料联盟是一个按照&ldquo;自愿、平等、合作&rdquo;的原则成立的集专业性、学术性和联合性于一体的服务型非营利性联合体；以共同的发展需求为基础、以新材料产业技术协同创新、企业管理能力创新、企业发展战略能力优化与提升创新为目标、以具有法律约束力的契约为保障，联合研发、优势互补、利益共享、风险共担。
职能类别：
软件工程师
系统工程师
关键字：
Python
爬虫
JAVA
软件开发",宝安区新安街道隆昌路8号飞扬科技园B栋8楼飞扬集团,https://jobs.51job.com/shenzhen/102375576.html?s=01&t=0
中软国际科技服务有限公司,"
诊断工具开发-Python-外包腾讯云","
深圳-南山区|2年经验|大专|招1人|08-16发布",0.8-1.1万/月,"岗位要求：
1、大专以上学历 
2、计算机相关专业 
3、1-3年Python相关工作经验
4、熟练掌握Python爬虫技术；
5、熟练掌握Python Web框架;
6、熟悉Linux操作
岗位职责：
1、开发编写自动化运维脚本
2、开发编写web运维平台
注：本岗位为专项外包，定岗定薪。
职能类别：
软件工程师
关键字：
Python
爬虫",讯美科技广场,https://jobs.51job.com/shenzhen-nsq/105486882.html?s=01&t=0
深圳市汇通合力科技股份有限公司,"
云开发工程师（java工程师）","
深圳|3-4年经验|本科|招1人|08-17发布",2.5-3万/月,"【岗位职责】
1.负责云服务（AWS、阿里云、Azure）的云上开发交付实施；
2.负责组织制定云服务项目的需求与开发方案、验收报告等资料的编辑工作；
3.配合技术部门各位应用与技术测试等工作；
4.配合销售部相关项目的技术文档编辑等工作；
5.部门的技术方案编辑与相关技术、培训等文档的编辑工作
6.配合做好与合作伙伴厂商的技术交流。
7.完成上级主管领导交办的其它工作
【岗位要求】
1.本科及以上学历、计算机相关专业
2.具备5年以上Java扎实基础，掌握JVM的基础知识，能够进行调优与排障，对堆与栈，二维数组，算法有一定了解，熟练Spring Cloud框架，且有开发经验
3.具备DevOps开发经验，熟悉CI/CD的整个配置与管理流程
4.具备通用开源软件部署与二次开发能力并集成，例如：K8S+Jenkins或K8S+GitLab，Nginx，MongoDB、MQ等
5.具备目前主流云厂商（AWS、阿里云）的RDS、EC2、S3、VPC、ELB、EMR等的实施与运维
6.具备目前主流大数据套件（Spark，Hive，Sqoop等）部署与运维经验，有业务逻辑开发优先
7.熟悉Oracle、Mysql等知道怎么把数据库与业务解耦迁移方法
8.熟悉RestAPI的接口原理，拥有AWS或Aliyun某些PaaS服务的研发经验
9.熟悉用Python开发爬虫工具，做一些简单的数据分析
职能类别：
高级软件工程师",南山区桃园路1号西海明珠大厦F座24楼,https://jobs.51job.com/shenzhen/103851284.html?s=01&t=0
深圳市爱影互联文化传播有限公司,"
搜索引擎(文件搜索)工程师","
深圳-福田区|3-4年经验|本科|招若干人|08-17发布|计算机科学与技术",0.8-1.5万/月,"岗位职责：
1、负责搜索引擎后台服务软件架构设计及研发负责搜索引擎的算法改进、架构优化及策略研发；
2、负责对搜索相关度排序优化、大规模数据分析与挖掘、用户行为分析等 
任职要求：
must：
1. 熟练掌握java语言、如还掌握python或者c的一种或者多种优先，并且有Linux系统下开发经验者优先
2. 有lucene/Solr/ElasticSearch/Mahout开发经验或有优先考虑；
3. 有个性化推荐系统的分析设计经验，熟悉用户画像系统； 
4. 熟悉搜索引擎底层存储/分词/爬虫，并且有hadoop/spark等大数据经验；
5. 有信息检索、自然语言处理、机器学习与数据挖掘、计算广告学等相关背景或项目经验优先
职能类别：
软件工程师
高级软件工程师
关键字：
搜索",中国凤凰大厦2栋22F,https://jobs.51job.com/shenzhen-ftq/103830516.html?s=01&t=0
车音智能科技有限公司,"
信息安全工程师","
深圳-南山区|无工作经验|招1人|08-17发布",1.5-2万/月,"岗位职责：
    负责公司信息安全的规范制定、管理，信息安全管理标准和体系工作，信息安全的工作事务安全行为管理、堡垒机控制策略、系统加固（windows、linux)、网络等安全、防入侵检测IPS、安全漏洞防护。安全风险监控、邮箱安全管理、云服务安全管理、防病毒、IDS、PKI、钓鱼、攻防技术、制定验证、修复漏洞方案等。
任职要求与建议该岗位关联的技能与专业描述：
1、3-5年信息安全相关工作经历，本科及以上学历。
2、具备扎实的计算机网络、信息安全基础，熟悉TCP/IP网络协议栈，对网络协议具备分析能力，能熟练使用网络分析工具，熟悉主流网络设备基本操作
3、熟悉常见黑客攻击手法，具备对黑客行为的入侵检测能力；
4、有过安全扫描相关开发经验，包括但不限于网络爬虫、漏洞扫描工具、网络空间态势信息搜集等（如有请附在简历中）；
5、熟悉常见网络、信息漏洞攻击技术原理和验证扫描方法，能够给出相应的漏洞修复方案；
6、熟练掌握至少其中一种语音，包括C、C++、perl 、Python、PHP、Go 等语言，编写过完整的项目作品（如果有请附在简历中）；
7、可独立完成项目报告编写，提供安全解决方案
                                8、有Linux系统漏洞挖掘或逆向分析、信息安全等保、ISO27001信息安全管理体系经验优先；
职能类别：
网络信息安全工程师",深南大道9680号大冲商务中心A座2701,https://jobs.51job.com/shenzhen-nsq/101838405.html?s=01&t=0
中腾信金融信息服务（上海）有限公司,"
Java研发工程师 (MJ000175)","
深圳-南山区|3-4年经验|本科|招3人|08-17发布",1.5-3万/月,"岗位职责：
1、根据系统需求说明书，完成系统详细设计、编码、单元测试； 
2、掌握最新的公司业务流程，确保开发能够准确的实现业务需求； 
3、遵循IT中心开发流程，提交各阶段的交付件，保质保量完成开发任务； 
4、通过分析所负责的模块运行数据，对系统进行优化，保证系统稳定性；
5、能够从架构设计的角度思考优化解决问题；
任职要求：
1、本科以上学历，计算机相关专业，3年以上开发经验，2年以上互金行业开发经验；  
2、精通JAVA语言，掌握Spring，Spring boot，Spring Cloud, hibernate，MQ，redis，zookeeper,dubbo等开发框架组件； 
3、熟悉MySQL\Oracle数据库设计，懂SQL优化； 
4、熟悉HTTP协议，Restful架构风格优先； 
5、具有良好的沟通表达能力，严谨的逻辑思维，工作积极主动，责任心强，有较好的团队精神；
6、有python爬虫开发经验，或代码洁僻者优先；
职能类别：
高级软件工程师
软件工程师",深南大道9672号大冲商务中心D栋14-15楼,https://jobs.51job.com/shenzhen-nsq/105387102.html?s=01&t=0
